//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-30-2023
//--  Time: 17:47
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 5     AFR:7.7, 20
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
379	12.25	123 	1.851
380	12.26	123 	1.855
381	12.28	123 	1.860
382	12.29	123 	1.865
383	12.30	123 	1.870
384	12.31	123 	1.875
385	12.32	123 	1.880
386	12.34	123 	1.885
387	12.35	123 	1.890
388	12.36	124 	1.895
389	12.37	124 	1.899
390	12.38	124 	1.904
391	12.40	124 	1.909
392	12.41	124 	1.914
393	12.42	124 	1.919
394	12.43	124 	1.924
395	12.44	124 	1.929
396	12.46	125 	1.934
397	12.47	125 	1.938
398	12.48	125 	1.943
399	12.49	125 	1.948
400	12.50	125 	1.953
401	12.52	125 	1.958
402	12.53	125 	1.963
403	12.54	125 	1.968
404	12.55	126 	1.973
405	12.56	126 	1.978
406	12.58	126 	1.982
407	12.59	126 	1.987
408	12.60	126 	1.992
409	12.61	126 	1.997
410	12.62	126 	2.002
411	12.64	126 	2.007
412	12.65	126 	2.012
413	12.66	127 	2.017
414	12.67	127 	2.021
415	12.68	127 	2.026
416	12.70	127 	2.031
417	12.71	127 	2.036
418	12.72	127 	2.041
419	12.73	127 	2.046
420	12.74	127 	2.051
421	12.76	128 	2.056
422	12.77	128 	2.061
423	12.78	128 	2.065
424	12.79	128 	2.070
425	12.80	128 	2.075
426	12.82	128 	2.080
427	12.83	128 	2.085
428	12.84	128 	2.090
429	12.85	129 	2.095
430	12.87	129 	2.100
431	12.88	129 	2.104
432	12.89	129 	2.109
433	12.90	129 	2.114
434	12.91	129 	2.119
435	12.93	129 	2.124
436	12.94	129 	2.129
437	12.95	129 	2.134
438	12.96	130 	2.139
439	12.97	130 	2.144
440	12.99	130 	2.148
441	13.00	130 	2.153
442	13.01	130 	2.158
443	13.02	130 	2.163
444	13.03	130 	2.168
445	13.05	130 	2.173
446	13.06	131 	2.178
447	13.07	131 	2.183
448	13.08	131 	2.188
449	13.09	131 	2.192
450	13.11	131 	2.197
451	13.12	131 	2.202
452	13.13	131 	2.207
453	13.14	131 	2.212
454	13.15	132 	2.217
455	13.17	132 	2.222
456	13.18	132 	2.227
457	13.19	132 	2.231
458	13.20	132 	2.236
459	13.21	132 	2.241
460	13.23	132 	2.246
461	13.24	132 	2.251
462	13.25	132 	2.256
463	13.26	133 	2.261
464	13.27	133 	2.266
465	13.29	133 	2.271
466	13.30	133 	2.275
467	13.31	133 	2.280
468	13.32	133 	2.285
469	13.33	133 	2.290
470	13.35	133 	2.295
471	13.36	134 	2.300
472	13.37	134 	2.305
473	13.38	134 	2.310
474	13.39	134 	2.314
475	13.41	134 	2.319
476	13.42	134 	2.324
477	13.43	134 	2.329
478	13.44	134 	2.334
479	13.45	135 	2.339
480	13.47	135 	2.344
481	13.48	135 	2.349
482	13.49	135 	2.354
483	13.50	135 	2.358
484	13.51	135 	2.363
485	13.53	135 	2.368
486	13.54	135 	2.373
487	13.55	135 	2.378
488	13.56	136 	2.383
489	13.57	136 	2.388
490	13.59	136 	2.393
491	13.60	136 	2.397
492	13.61	136 	2.402
493	13.62	136 	2.407
494	13.63	136 	2.412
495	13.65	136 	2.417
496	13.66	137 	2.422
497	13.67	137 	2.427
498	13.68	137 	2.432
499	13.69	137 	2.437
500	13.71	137 	2.441
501	13.72	137 	2.446
502	13.73	137 	2.451
503	13.74	137 	2.456
504	13.75	138 	2.461
505	13.77	138 	2.466
506	13.78	138 	2.471
507	13.79	138 	2.476
508	13.80	138 	2.480
509	13.81	138 	2.485
510	13.83	138 	2.490
511	13.84	138 	2.495
512	13.85	139 	2.500
513	13.86	139 	2.505
514	13.87	139 	2.510
515	13.89	139 	2.515
516	13.90	139 	2.520
517	13.91	139 	2.524
518	13.92	139 	2.529
519	13.93	139 	2.534
520	13.95	139 	2.539
521	13.96	140 	2.544
522	13.97	140 	2.549
523	13.98	140 	2.554
524	13.99	140 	2.559
525	14.01	140 	2.563
526	14.02	140 	2.568
527	14.03	140 	2.573
528	14.04	140 	2.578
529	14.05	141 	2.583
530	14.07	141 	2.588
531	14.08	141 	2.593
532	14.09	141 	2.598
533	14.10	141 	2.603
534	14.11	141 	2.607
535	14.13	141 	2.612
536	14.14	141 	2.617
537	14.15	142 	2.622
538	14.16	142 	2.627
539	14.17	142 	2.632
540	14.19	142 	2.637
541	14.20	142 	2.642
542	14.21	142 	2.646
543	14.22	142 	2.651
544	14.23	142 	2.656
545	14.25	142 	2.661
546	14.26	143 	2.666
547	14.27	143 	2.671
548	14.28	143 	2.676
549	14.29	143 	2.681
550	14.31	143 	2.686
551	14.32	143 	2.690
552	14.33	143 	2.695
553	14.34	143 	2.700
554	14.35	144 	2.705
555	14.37	144 	2.710
556	14.38	144 	2.715
557	14.39	144 	2.720
558	14.40	144 	2.725
559	14.41	144 	2.729
560	14.43	144 	2.734
561	14.44	144 	2.739
562	14.45	145 	2.744
563	14.46	145 	2.749
564	14.47	145 	2.754
565	14.49	145 	2.759
566	14.50	145 	2.764
567	14.51	145 	2.769
568	14.52	145 	2.773
569	14.53	145 	2.778
570	14.55	145 	2.783
571	14.56	146 	2.788
572	14.57	146 	2.793
573	14.58	146 	2.798
574	14.59	146 	2.803
575	14.61	146 	2.808
576	14.62	146 	2.813
577	14.63	146 	2.817
578	14.64	146 	2.822
579	14.65	147 	2.827
580	14.67	147 	2.832
581	14.68	147 	2.837
582	14.69	147 	2.842
583	14.70	147 	2.847
584	14.71	147 	2.852
585	14.73	147 	2.856
586	14.74	147 	2.861
587	14.75	148 	2.866
588	14.76	148 	2.871
589	14.77	148 	2.876
590	14.79	148 	2.881
591	14.80	148 	2.886
592	14.81	148 	2.891
593	14.82	148 	2.896
594	14.83	148 	2.900
595	14.85	148 	2.905
596	14.86	149 	2.910
597	14.87	149 	2.915
598	14.88	149 	2.920
599	14.90	149 	2.925
600	14.91	149 	2.930
601	14.92	149 	2.935
602	14.93	149 	2.939
603	14.94	149 	2.944
604	14.96	150 	2.949
605	14.97	150 	2.954
606	14.98	150 	2.959
607	14.99	150 	2.964
608	15.00	150 	2.969
609	15.02	150 	2.974
610	15.03	150 	2.979
611	15.04	150 	2.983
612	15.05	151 	2.988
613	15.06	151 	2.993
614	15.08	151 	2.998
615	15.09	151 	3.003
616	15.10	151 	3.008
617	15.11	151 	3.013
618	15.12	151 	3.018
619	15.14	151 	3.022
620	15.15	151 	3.027
621	15.16	152 	3.032
622	15.17	152 	3.037
623	15.18	152 	3.042
624	15.20	152 	3.047
625	15.21	152 	3.052
626	15.22	152 	3.057
627	15.23	152 	3.062
628	15.24	152 	3.066
629	15.26	153 	3.071
630	15.27	153 	3.076
631	15.28	153 	3.081
632	15.29	153 	3.086
633	15.30	153 	3.091
634	15.32	153 	3.096
635	15.33	153 	3.101
636	15.34	153 	3.105
637	15.35	154 	3.110
638	15.36	154 	3.115
639	15.38	154 	3.120
640	15.39	154 	3.125
641	15.40	154 	3.130
642	15.41	154 	3.135
643	15.42	154 	3.140
644	15.44	154 	3.145
645	15.45	154 	3.149
646	15.46	155 	3.154
647	15.47	155 	3.159
648	15.48	155 	3.164
649	15.50	155 	3.169
650	15.51	155 	3.174
651	15.52	155 	3.179
652	15.53	155 	3.184
653	15.54	155 	3.188
654	15.56	156 	3.193
655	15.57	156 	3.198
656	15.58	156 	3.203
657	15.59	156 	3.208
658	15.60	156 	3.213
659	15.62	156 	3.218
660	15.63	156 	3.223
661	15.64	156 	3.228
662	15.65	157 	3.232
663	15.66	157 	3.237
664	15.68	157 	3.242
665	15.69	157 	3.247
666	15.70	157 	3.252
667	15.71	157 	3.257
668	15.72	157 	3.262
669	15.74	157 	3.267
670	15.75	157 	3.271
671	15.76	158 	3.276
672	15.77	158 	3.281
673	15.78	158 	3.286
674	15.80	158 	3.291
675	15.81	158 	3.296
676	15.82	158 	3.301
677	15.83	158 	3.306
678	15.84	158 	3.311
679	15.86	159 	3.315
680	15.87	159 	3.320
681	15.88	159 	3.325
682	15.89	159 	3.330
683	15.90	159 	3.335
684	15.92	159 	3.340
685	15.93	159 	3.345
686	15.94	159 	3.350
687	15.95	160 	3.354
688	15.96	160 	3.359
689	15.98	160 	3.364
690	15.99	160 	3.369
691	16.00	160 	3.374
692	16.01	160 	3.379
693	16.02	160 	3.384
694	16.04	160 	3.389
695	16.05	160 	3.394
696	16.06	161 	3.398
697	16.07	161 	3.403
698	16.08	161 	3.408
699	16.10	161 	3.413
700	16.11	161 	3.418
701	16.12	161 	3.423
702	16.13	161 	3.428
703	16.14	161 	3.433
704	16.16	162 	3.438
705	16.17	162 	3.442
706	16.18	162 	3.447
707	16.19	162 	3.452
708	16.20	162 	3.457
709	16.22	162 	3.462
710	16.23	162 	3.467
711	16.24	162 	3.472
712	16.25	163 	3.477
713	16.26	163 	3.481
714	16.28	163 	3.486
715	16.29	163 	3.491
716	16.30	163 	3.496
717	16.31	163 	3.501
718	16.32	163 	3.506
719	16.34	163 	3.511
720	16.35	163 	3.516
721	16.36	164 	3.521
722	16.37	164 	3.525
723	16.38	164 	3.530
724	16.40	164 	3.535
725	16.41	164 	3.540
726	16.42	164 	3.545
727	16.43	164 	3.550
728	16.44	164 	3.555
729	16.46	165 	3.560
730	16.47	165 	3.564
731	16.48	165 	3.569
732	16.49	165 	3.574
733	16.50	165 	3.579
734	16.52	165 	3.584
735	16.53	165 	3.589
736	16.54	165 	3.594
737	16.55	166 	3.599
738	16.56	166 	3.604
739	16.58	166 	3.608
740	16.59	166 	3.613
741	16.60	166 	3.618
742	16.61	166 	3.623
743	16.62	166 	3.628
744	16.64	166 	3.633
745	16.65	166 	3.638
746	16.66	167 	3.643
747	16.67	167 	3.647
748	16.68	167 	3.652
749	16.70	167 	3.657
750	16.71	167 	3.662
751	16.72	167 	3.667
752	16.73	167 	3.672
753	16.74	167 	3.677
754	16.76	168 	3.682
755	16.77	168 	3.687
756	16.78	168 	3.691
757	16.79	168 	3.696
758	16.80	168 	3.701
759	16.82	168 	3.706
760	16.83	168 	3.711
761	16.84	168 	3.716
762	16.85	169 	3.721
763	16.86	169 	3.726
764	16.88	169 	3.730
765	16.89	169 	3.735
766	16.90	169 	3.740
767	16.91	169 	3.745
768	16.93	169 	3.750
769	16.94	169 	3.755
770	16.95	169 	3.760
771	16.96	170 	3.765
772	16.97	170 	3.770
773	16.99	170 	3.774
774	17.00	170 	3.779
775	17.01	170 	3.784
776	17.02	170 	3.789
777	17.03	170 	3.794
778	17.05	170 	3.799
779	17.06	171 	3.804
780	17.07	171 	3.809
781	17.08	171 	3.813
782	17.09	171 	3.818
783	17.11	171 	3.823
784	17.12	171 	3.828
785	17.13	171 	3.833
786	17.14	171 	3.838
787	17.15	172 	3.843
788	17.17	172 	3.848
789	17.18	172 	3.853
790	17.19	172 	3.857
791	17.20	172 	3.862
792	17.21	172 	3.867
793	17.23	172 	3.872
794	17.24	172 	3.877
795	17.25	172 	3.882
796	17.26	173 	3.887
797	17.27	173 	3.892
798	17.29	173 	3.896
799	17.30	173 	3.901
800	17.31	173 	3.906
801	17.32	173 	3.911
802	17.33	173 	3.916
803	17.35	173 	3.921
804	17.36	174 	3.926
805	17.37	174 	3.931
806	17.38	174 	3.936
807	17.39	174 	3.940
808	17.41	174 	3.945
809	17.42	174 	3.950
810	17.43	174 	3.955
